index,smiles
35,[h]123456[h]789%10%11%12c-1%13%14%15%16%17o#7=21%18%19%20f#%13=827%21=[h]=9=%14=1-38%13[h]#4#%10#%18=2-%151[h]#5#8#%19=%11-7-%16#C#1=%12=%176%21%13%20
36,o123456*789%10%11%12o=1%13%14%15%16[h]2-71%17%18%19o#8=%1327%20f#9=3-18%13f%17#4#2#%10-%141#[h]#7#8#%11=5-%15-%18f%16%20%19#%13=6-%12-1
37,*123[h]456n789%10*#1%11%12#c#2-71%13c8=%1127o41-38#F#5#9%132#o%10#%12-6-7-8
38,C.C.C.CC.CC.O.O
39,o12345c6789%10%11n#1%12%13%14%15f#61%16%17[h]#%12#7-26%18n=3=%13-827=f6#4#1-93f=%16=%14-2-%10-[h]%15%11#%17#%18#3=5-7
40,*1234567[h]89%10%11%12%13f#1%14%15%16%17%18#f=8-21%19%20%21[h]#3#9=%1428%22f4#%15=1-%1039f#%16=%19-5-%11-21f#6#%17#3=8=%20-%12#[H]#%22#%21#1#9=7%13%18
41,C.C.C.nc1#O(#C=O)=*=1
42,c12c34=c#156n1789o%10%11f#5=1%12%13#O#2#%10#731=N#6#8%12#[H]#9=4=1%11%13
43,C.C=N1O2=n13cn#c32=C
44,*123[h]456c=178c=219n42%10%11n4%12[h]2#3#1=5([h]#%10=7-4)[H]#8#%11=9%126
45,o*123:*45=n678c9%10(c=4=1-6(=N=2=79)N#3#8=%10)#O5
46,[h]1234*56789%10[h]%11%12%13%14n#1#5%15%16%17%18#n=615%19o#2#%11#7=%156%20n=%12=1-8-%162c36#5#9=%13-%17=c%10%20=4=2-%14-%19-%18
47,[h]12345[h]6789%10[h]%11%12%13%14%15n=1%16%17%18#F#6=%111%19%20#*#2#7#%126%11:*3%13#1=%16=82=[H]#4#%17=9=%196%14#n5%15#%11=%18=%20=2-%10
48,C.C.C.C#cc.CC.N
49,[H]12#[H]345#[h]678c#19%10%11c1%12o#3=6%13%14=N#479=*#5#8=%101%13F#%12#%11=2=%14
50,C.C.C.C.C.C.C.N.O
51,C12=c345678n9%10%11%12o#3%13%14%15[h]#9=43%16%17c#%10=5-%1349#F136=c%11#%14#4-%16-7-o%12%15%17#9#82
52,c123c456o78c9%10%11[h]#1#4%12%13%14f=214o#9#5#%122n6#7=%10-3-1-%13C#%11#2=4=%148
53,F1=F23#c45n6#n789o4-62%10%11f=1-7(n#8=%10)O#5#9=%113
54,[h]12345o6789%10#*=1%11%12%13%14:*=2=61%15%16%17:*#%11-726%18o1#8=%127%11#[h]%15#3#2#91#[h]%16#4-%13-6-7-n5%17#%18#%11-%14-1-%10
55,O12345#[h]6789%10o%11%12%13%14%15#O=1%16%17%18%19#[h]=6=%111%20%21o#7#%12=%1626%11#[H]#%13=3=1=%1782#c9#4#%20#%14=%18=6o#%21#%19#%15#2#%11=5=%10
56,c123n45f678o#49%10%11n1-64%12#o16*#2#7#9=4O=51%12%10=c3#6-8-%11
57,C1=C2#c3456c7#N28=n3=72=n4=*8-5o6=21
58,C.cn12c-n13n1C=3OO=21
59,*123#n45n67#N#489#F4%10=*#1%11%12=F=461#*=2=7=5=%10=%118f=3=%1291
60,*123456#n789%10%11[h]%12%13%14%15%16[h]=1%17%18%19%20#*#%12271%21%22#[h]#%17=%133-827*=4=9-%18-%1413#f%152#%19#%10=5%21#n%16#%20=6=%11=%22-3-7
61,C#c(c)C1234#N5=*#167[h]=25(#N#3=6)=*=7=4
62,C1#O23#[h]456n#*=1=4o=21#*#5(c=6)o=3-1
63,C.CN=O1(O)=C#C1.NO
64,[h]1c23c4c=N5(=C#4)=O=C2#O=1=53
65,C.C=C.CN.cc(C)f
66,[h]12345[h]6789%10%11[h]#1%12%13%14%15%16*-2-61%17%18%19f#7=3-%1226%20f=1=%13-837#f#4#9=%17-%14-21[h]#%15#%10#6=3-%18=n%16%11%20#%19#1=7-5
67,C1#n234n5N=c2-567#C(c#6f=7-3)O=41
68,*123456#*789%10%11f=1%12%13%14%15%16#*#721%17%18%19:*#3-%1227%20f=4=%13-8-13%12*#5#9=%172-%141[h]#6#%15#3=%10=7=%18#f%19#1#%12=%11=%20=%16
69,C.C#N(=C)#*#C#ccn
70,*12345[h]6789%10[h]%11%12%13%14n-6%15%16%17%18[h]#%11-16%19#c%15=2-71%11[h]#%12#8=%16-32#n%139%17=4=6=1=F#5#%19#%11=2=%10%14%18
71,O1=o234c567c289(c=52o8#35#n#2-9n-6-5)#O=417
72,C.C.C.C#C(#C)O.N.N
73,N=C12#cn3c4(=N)o1o4#2N#3
74,[h]12345o6789%10*=1%11%12%13%14%15[h]-2-61%16%17*=7=%1126%18=o1#8#%127%11#f#3-2-%131[h]#4-6-%16-7-9-%14-f1%10#%11#%15=%18-5-%17
75,[H]1#O2=C345=O=1#N2#O31[H](#C14)=N5
76,O*c12c3#c(c#1)=N=c#2c-3
77,c12345*6789%10%11#*1%12%13%14%15%16n-61%17%18%19f-7-%126%20%21#[H]#128%137%12#f#6=3=%17=9=%141o#4#%20#%15-%18-%107#F#%19#1=%125%21%11%16
78,C.C.C.N.O.nccO
79,[h]123456[h]789%10%11%12f%13%14%15%16%17c7-1%18%19%20%21*#2#%13#817%22o9=3=%18-%1428f#%10=4=%15=1=%193=*#5#7#%11#%20=2-%16f%22%12#%21=6=%17-8-3
80,C.C.C.C.C.C.N.N.N
81,*1234567[h]89%10%11%12%13[h]1%14%15%16%17%18f#8-21%19%20%21=f=3=%14-928%22f#4=%10=%15=139[h]=5=%11=2-%16-%191[h]#%17#3=6-%12-8-%20#f7%18=1=%21-%13-%22-9
82,C.C.N.cn.no=ON
83,C.C.C.C.C.C.C.C.C
84,C#f1o2#O(N)#O2=N=F=1#N
85,n1234n56789%10f#1%11%12%13%14%15o=5-21%16%17n=%11-625f=7=%126*2%13=3-1-87:*=%16=9=%14-6:*:7=4=%10=%15-5-%17
86,O12345#o6789c%10%11%12%13%14[h]-6%15%16%17%18#c%10#16%19%20[h]#%11=2=7=%151#*#%12=83-%16-62o%13#9=%194-%17f%20#5#%18#%14#2-1
87,N#N1=ON=C#C#cc=C1
88,[h]12c3456#*78c#1#39%10%11%12o-41f9-7-53=o%10#8=64=o#%11=2=1-3c=%12-4
89,f123456*789%10%11%12f%13%14%15%16%17[h]#7-1%18%19%20%21o2=%13=817%22#O#3=%14=9%1828#O#4#%15#%10#%1913#F=5=2=7%16%11%20=O#%17#%216%1283%22
90,C.C=N#Oc(c)CO.O
91,*1234#o56789n1%10%11%12n=51%13%14c#%10=65%15%16f72-16%10=O#538=f%11#4#%15=%13=6#F#%14#%16%129%10
92,[h]1*2o345#O#C=n#36o-4(#N=526)C#1
93,o12345[h]6789%10f=1%11%12%13%14%15[h]=2=61%16%17#f%11=726%18o%12=1=87%11*#3#9#%13-21O#6#%14=4=%16=7=n%11#5#%17#%18=%10=%15-1
94,C.C#O=N#C#O.CC.N
95,f123o456789c=1%10%11c#41%12#*=54%13[h]#%10-65%14o=1=7-26f#3#4=8-5-*%149#%12=%13=%11-6
96,C.C.C#C1#C#co=1.N.O
97,*1234[h]567n89%10%11o#5%12%13%14#c1=85%15%16[h]2=%12-91c5#3#%10-62#C#%15=1=%13o%11#4#%16=2-7-%14
98,*123o456789f#1%10%11f-2-41%12%13%14c=52=*%106145#N=7%121#F#4=8=%13#f9#1#%14=5-3-2-%11
99,[h]123456*789%10%11%12[h]1%13%14%15%16%17#f=71%18%19%20*#2=8=%137%21%22:*#%14=3=9-128n7#4#%10=%18=%151[h]#5#%19=%11=2=%21-%16-f%22#1=8-6-%20-%12-%17
100,N12=*34567f89#n1%10n31%11%12[h]#8=43n1#5=2=%104n#3-%11-6=F#9=%1274
101,*#c(=C)(c)(=N)-c1cC=1.O
102,C.C.C.C.C.C.C#N.N
103,O1#C2=C34567#C1C2318#c#4c=51#c#8#6o7
104,C.C.Ccn.N.O.[H]#C
105,C.C.Ccc(n)o(=N)N
106,co(#N)#C(#O)#CCCN
107,O=*oc1n2=c-1(o)#N#N2
108,*1#f234567n89%10o-2%11%12%13c#312%14%15n#%11#41f#%12#2#5-83n%14=9=%13=6#C=%15=7%1013
109,cc12o34*5(#c(o=1N=35)#N4)O#2
110,*123:*45678#n#19%10%11%12[h]=41%13[h]#9=54%14c#6=2=1=%1059o#3=%131*%115=47-[h]1%12=%14=8=9
111,C.N.O=N1#O(=O)NC=C=1
112,nc123o456#C78=c9%10%11o#1=4%12%13#O79(#N#2=5%10%12)#F#%11=8=63%13
113,*12=c34567n189%10%11c#321%12c=823*=1=4-98[h]%10#%12=5-21[h]#6=%11-3*817
114,[h]o123#*4=O56=o=17o-21n4c5-7-1C#36
115,*123c45678*19%10%11%12c=41=f9#54%13%14[h]=659f#%10#7-4(#F#5=2=%11%13)O#9#8#%1431%12
116,CC(#O)#N1CC1.co=N
117,N#c1c234#o5c-2(*O)=O=3=*#5=1=4
118,O12c3456*789%10%11f#31%12%13%14c=4-71n=5-834#C=%1295#C#3=%13%10#O#%1425164%11
119,*1234567f89%10%11%12%13*1%14%15%16%17%18#*#821%19%20%21[h]9#%14-328%22n#%15#1=4=%1039*#5#%16=%19=2-%111f%208#6#%17=3-%12-f9#1=7=%13-%18-%21-%22
120,*1n2345*67o1#289%10n3-612=[H]3#C86#N#3#9=41c5=7=6=2=%10
121,n12o3=o4567c89=c4%10o#1=5*#61#*7=8-3[H]#%10=129
122,c12f3#[h]45n6789o=1%10%11=n-4-61%12[h]#7-3-%10f2=%11=1=8*=5=%129
123,O1234=O5678#n9%10%11%12f=5%13%14%15%16*165%17%18:*%13#9#716#[H]=2=%14%1057=*#%11#%17=8=%1531:*=%18=6=%164-%127
124,C.C.C=C.N.O.O.O.O
125,*1234567#[h]89%10%11%12%13[h]=1%14%15%16%17%18[h]=821%19%20%21*=3=9-%1428%22[h]1=%154-%1039=[H]=%1952%11%161#O#8=6=3%12%17%20#f%22%21#1=%18=97-%13
126,C.C*12=Co=1n=cc2.O
127,C#N1C2#c3c1(=C)c2f=[H]=3
128,F[h]12c345#N6#o#3-17o=4#O=6#[H]#7=2N5
129,C.C.oc1#O2(=C1)=noC2
130,o1o234*5678c-29#c-52%10o65%11=c27=1-9#C#35=N#%10#8%114
131,*12345n6789%10%11f-1%12%13%14%15%16o=6-21%17%18%19#[H]=7=%1226%20#f#8-1-%137%12*#3#%14=2=9=%171*#7#%10#%18#%15=4=6=f%12#5=%20=%19=%16-1-%11
132,[h]123*456n789n-4%10%11%12n#5-74%13c=8-15(=O#%10=2=6)C#9#4#%11#o3=%12-5-%13
133,c1n234567#*89c-2%10%11o#32%12#n8%10#43%13n=%11=2-5=C=9=3%126F#1#%13=7
134,*12345[h]6789%10%11#[h]=1%12%13%14%15*=61%16%17%18o%12#2#76%19%20*#1=3-827#o6#%16#9=%131#f4%17=2-%14-%10-%19=[h]%20#5#%18=%15=1-7-%11
135,*1234#C567=*89%10#n=15%11%12%13%14[h]815%15[h]#%1128%16o1=63-%122*#%13=597-8f%152=4=%10=%14-%16
136,C.C.C.C.[HH].nc=nn
137,[h]123456[h]789%10%11%12*=1%13%14%15%16%17[h]=7-21%18%19%20=[h]#%13=827%21*#%14=1-3-98%13#*#2=4=%15=%18=%101n7=5=8=%16=%19-%11[h]6%17%12#%13=%21=%20-1
138,C.C.C=co.NN.O.O
139,[H]12#C3456=[h]789o=31%10%11f7413%12*-84#N#1=9=N#%10=2=5=3C#4=%116%12
140,*#c1(=O)n(=O)#C#C1#N.C
141,C.C.C.C.C=N.N.O.O
142,C1#o23*456#*789n-4%10[h]=5-74%11f#6=1=2-%10#O=48#F#39%11
143,C.C.C#CF.C#N.N.O
144,[h]123456[h]789%10%11%12[h]-1%13%14%15%16%17[h]271%18%19%20#*=3-%13-827%21n4#9#1=%1438#[h]#5=2=%10-%15-%181o=7=%16=%19=3-6-%11#O#%21#1=%17=%20%128
145,*1234o56789*#1%10%11%12#o1%13%14%15*5%10%16%17%18#C#1=2%1165%10=*7=%13=%161f8=%17-3-%145#[H]#4#%15=9=%10%121%18
146,o1234o56789%10[h]#1%11%12%13%14%15*-51%16%17%18#[h]#2-%11-65%19%20[h]#7=%12-126n#%13#8=%16=5-31*#%19%17-2-%14-9f#%10=%18=6=%20=1-4-%15
147,*1234567[h]89%10%11%12%13#[h]-1%14%15%16%17%18f#8-21%19%20%21o#%14=3-928%22*#4#1-%10-%1539#[h]#5#%16=%11-2-%191*8#%17#%20=36-%12-n%22#9#%21=7=%13=1=%18
148,C=on123(=O)o=C#1#O=n-2o3
149,O#N12#O3#Nn#145c(=F)(#C=43)#C=52
150,O12#[h]34*567#*89c3=5%10%11%12o=81-o#6#%10-41o=9=%11-7=C#2=1=%12
151,*12#[h]34567[h]89%10#*-3%11%12%13o#4-83=c51-%114f2-91n6-3-%12n14#%10=%13-7
152,*123456f789%10%11f1%12%13%14%15%16o#71%17%18%19f%12=2=87%20%21[h]=%13-3-128f#9#%14=%17-4-71c#2#%18#%15=%10-5-%20-o%21#6#8#1#%16=%19-%11
153,C.C.C.C.C.C.C.O.O
154,C.C.C=O#C=Ncn.O
155,*123456:*789%10%11%12[h]=1%13%14%15%16#[h]2-71%17%18%19#f8#%13=327%20#[H]=%14=9138#[h]#4#2-%10-%171[h]#5#%15#7=%183-%11#[H]#%20=6=%1681%12%19
156,*12#*345c678c9=F#3#6%10%11%12#c#736f8#1#%10=C#4=3%11=[h]6=%122-9-5
157,C.C.C.C.C.C.N.N.O
158,Co1234*56:*1789%10c21%11[h]7=32(o#8-1#c2#5=%11=9)#O=%1064
159,C.C.C.C.N.N#C=F.O
160,C.C.C.C.C.C.C.C.N
161,N.N=c1n=C[h](o)#N=C=1
162,C#c(n-oc)nc#O.N
163,*1234567:*89%10%11%12%13:*#1%14%15%16%17%18:*#281%19%20%21[h]#9#%14-328%22[h]%15#4=1-%1039[h]%112#%19#%16-51[h]#8=%20=%17-6-%12-3-f%22#%21#%13#9#1=7=%18
164,C.C.C.C.C.C.N.O.[HH]
165,C.C.C.C.C=F.N.N.N
166,n1f2345*678#n9%10c%11=O=2(=O63)C#974=N#%10=1=%11=8=5
167,[H]1#c23456*78[h]-29%10%11#o=32%12o7=4-93%13[h]85#%10=1-2[H]#3%11C#%12=6=%13
168,C.C.C.C.C#C.N.co
169,[h]12345[h]6789%10o%11%12%13%14%15n#1#6%16%17%18*2#%11-716%19o#3=8=%16=%1227=F=%134%1713=F#9#%14#62c%18#%15=%10=%19=7-53
170,[h]1234[h]56789%10o#1%11%12%13%14%15n-51%16%17%18o#6#%115%19n#%12=2=1=7#O#8#%13%161#[h]%17#9=5-3-%14=C#1#%18=4=%15%19%10
171,*1234567#[h]89%10%11%12%13[h]1%14%15%16%17%18[h]8=21%19%20%21[h]#%14=3-928%22n1#%15#%10=439f=2=%16=%115-%191[H]#%12#%20#3=86%17=f%21#%13=97-%22-%18-1
172,*123456:*789%10%11%12[h]-1%13%14%15%16[h]-71%17%18%19f8#2-%137%20%21*#%14#1=9328:*:%107=%15=%1741#F#2=5=%18=%11%20=[h]6#%16#%19#8#%21=%12-1
173,[h]12f34567*89%10%11%12:*-3%13%14%15:*#1#8=43c=9-%1314#c%10#2-%14-5f#1#6-%15-%11=O=4=73%12
174,C=C=Noo.N.co=N
175,[h]123456c789%10%11%12c%13%14%15%16%17*#1-7%18%19%20%21#[h]#%13-2-817%22o9#3#%14=%182#f#%15-4-%19-1-%103n#%11=5=%20-%16-7o#%21=6=%12-%17-2-%22-3
176,*1234567[h]89%10%11%12%13f=1%14%15%16%17%18f8=21%19%20%21#[h]3=9=%1428%22[h]=%15=1-4-%1039[h]5#%16#%19-%11-21n#%20=6=%12=%17-3-8f%22#7=%13=%18-9-1-%21
177,C.C.N.N.O.OO.cc
178,f12c3456c789o%10%11c#3=1=7%12#*#81#N=9=4%103#c5=1=%12n=2=%11=63
179,F1234#O56789#*%10%11%12%13o%14%15%16%17#[H]#%10=15%18%19%20#*=%14=615n#2#%11#%15=%1876c#%16#8#%19=3=1-%12C#4#%13#%20=%17=9=65
180,f12345c6789%10o-1%11%12%13%14%15[h]=61%16%17%18[h]=2=%116%19%20#c3-1-7-%122%11*#%16#%13-6-81#n4%14#%19=9-%17-2#f5%18#%10=%20-1-%11-%15
181,N12345#*6789%10%11#*=1%12%13%14%15#F61%16%17%18#f#7%126%19%20f#1=%13287%12=[H]=%16=6=931=*#%17=4=%19%14%107#O#5=1=%18=%20=%11%15%12
182,[h]123456*789%10%11%12[h]%13%14%15%16%17*=7-1%18%19%20%21f#2#%13=817%22f#3#%14-%18-928=*#%15=4=%19=%10-13:*%16#5#%11#7%20-2-[h]%17%12=%21=%22-6-3-8
183,*12345#*6789%10%11f#1%12%13%14%15%16o=61%17%18%19[h]#2=7=%126%20%21o#%13-1-827[h]#%17=3=9=6-%141[h]%18#2#%10#%15=4=%20#f%19%16#1#%21=5=7=%11
184,C.C.C#C.[H]=c(n)N=C
185,*1c23*=1456#C(=C4)=[H]=251#C2O#3#*=126
186,*1234567:*89%10%11%12%13[h]=1%14%15%16%17%18f8-21%19%20%21[h]#3=9-%1428%22[h]#4#%15-%10-139#O#%19=%11=%16=251#f#6#3#8-%12-%17-%20f%22#7#1=%13=9=%18-%21
187,o1o2345#c67c8#*#69%10%11c-8-26%12n-9-3(=[H]#1#7#6#4=%10)O#%12=5%11
188,*(#C=O1#oo=1)n1o#C#C=1
189,N12#o345f#16789c1%10#n%11%12%13n6#3%14n-1-%11-7(o%12#2#%14=4=8)O=%13=5=9%10
190,*12f34567c89c%10%11[h]-3%12%13c#8=4-13=N#9#%122%1051#C#%13=6=N#%11=731
191,*123456o789%10%11*#1%12%13%14%15%16f#2-71%17%18%19#O#8%1227%20#*#%13=3-9-18%12f#%17=4=%1421f#%10=5=7=8=%18-%15o6%12#%20#%19=%11=1=%16
192,C.C.C.C.nc(n)=O#O
193,C12#N34#c5c16789o=31n#63c-76N#8=2#f19-5-64-3
194,c123o456f78#n-49%10n54%11%12n=6-15%13n=2=4#C#5=97%11=o3#8#%13=%10-%12
195,C.C=N.C=O.N.O.cn
196,o1234o56789f%10%11%12%13f=1%14%15%16c5=%101%17%18f2=%14=%11=65%10=[H]#%123%15172#c%13=%17=8-4-5n#%18#9=%162-%10
197,C.O#fcN#o1c#n1=F
198,C.C.C.C1=O2#N#C1OC2
199,N=c123n45#c167c18c9=c1=4=2c3=6-9-5O=8=7
200,C.C.C.C.C.C.C.N.O
201,*12345[h]6789%10%11[h]%12%13%14%15%16#*=6%17%18%19%20:*#1#7=%126%21%22#N#%13#82%171C#3#%18#9%1462f#4#%15=%19=%21=%10f#%20#%16=5=%22=%1112
202,C1[H]2=n13n14*5=O=16=[h]4(=O6)=F=253
203,[h]1234*56789[h]%10%11%12%13*-1%14%15%16%17o%10-51%18%19#*#2=%11%1465#c#%15#7-12[h]8#3#%16#%18=%12*#4#%13#%17=5=92%19
204,C.C.C.C#N.C=cc.O
205,*12345[h]6789%10%11o#1%12%13%14%15%16f=2-61%17*#3=7=%1226%18[h]#8-4-1-%1337=C#2=9=%141#*#5#%15=6=3%17%10#O#%11=7=%161%18
206,C.C.C.C.C.C.C.C.O
207,C.C.C.C.C#C.N.O.O
208,C=Nc1n(cn)cn-1.O
209,C=C=no.N.N=C(=N)=N
210,N.cc#n1c-c2(c)#C#1C=2
211,N1N2#n345c167#c#3189c=63n1=7c#4-3-8C#5#9=2
212,n12345*6789%10%11#f%12%13%14%15%16n#6=1%17%18%19%20*#%12=716%21:*#2=%13=8=%177%12#[h]3#%14#%18=1=92#[h]#4=6=%15=7-%10-%19o#5#%12=%21=%20-%16-%11-2
213,*1234:*5678:*19%10%11o1%12%13#f-2%14%15n5#3#92%16#F=61%10=c4#%14#2-%12-7o#%13#%15=8-%11-%16
214,c12345[h]6789%10=o%11%12%13%14f#1-6%15%16%17*#%11=7-216n#3=%1227#o1#%15=%13=8#F#4#6#%16=92F#%17=57%14%10
215,[h]12345o6789%10%11c-1%12%13%14%15%16#f=2-61%17%18%19*#3#7-%1226#C=4=8%13137#F#9=%14%171=*=2=3=%18-%15-%10o%19=1=7=%16=%11-5-6
216,C.C.C#C=C.C#O.N.O
217,O123456#f789%10%11%12f=1%13%14%15%16%17[h]2-71%18%19%20#F=38%1327%21#f%14#1=9438=o#%15=2=%10-%181*=7=35-%19-%11-%16:*#%12#%17=1=%20=86%21
218,*1234567[h]89%10%11%12%13*#1%14%15%16%17%18:*#8=21%19%20%21f#%14=3-928%22[h]#%15#%10=1-439n#%19=5=%16=2-%111f%20%12#8=6-%17-3[H]#7#1#%22%18%219%13
219,c12n34o156#[H]17=O8=c#39%10o=2=8=1n#5-4-9=O#6=7%10
220,C.C.C.C.C.C.C.N.O
221,C.CC.N.O.O.O.co
222,o123n456=f-178n=419%10%11o4%12%13o#1=2#o4#9=5-3-71o#%10-%12*1#%13=%11-6-8
223,n1o23[h]45[h]6=c7c89#n2-1%10#o3#8=4n#9#%10=6-7-5
224,F1234#c56789*=1%10%11%12%13%14#*=521%15[h]3-%1025#[h]1#%11=63%10[h]#%12=74-%151#F#3#%13=82=O#%10=5=1=9%14
225,C=[h]12n3#n-1(=nc)c1=C3#C=1=2
226,c123456*789%10%11%12o=1%13%14%15%16f71%17%18%19o#8-27%20%21c9#%13=3-128[h]#4=7=%17-%14-%101=[h]5#%15#%18=%11-%20-2#c%19%12#6#%16#8-%21-1
227,*1234c5678c9%10%11%12o-5%13%14%15=*-95%16%17c1=%13-69(o#2-5-%10#o3#%16#%11=%14=9-7)n#4#8#%12=%17-%15
228,[H]=c123c45(o)n6f-1[h]4=2(c)c5#3-6
229,[h]12345[h]6789%10[h]%11%12%13%14%15[h]#1%16%17%18%19#[H]#%11=61%20%21=c%12#2=%16-76%11[h]#3#%17=%131-82=f9#4=%18%20-%14-6n5#%15%21-%19-%10-2-%11
230,C#O.O.coF(=O)N#N
231,C.C.C.C.C.C#C.N.O
232,c1f23o4(#*56=c1=2(#O5)#N4=N6)O3
233,*1234567o89%10%11%12%13*=1%14%15%16%17%18#*2-81%19%20%21:*9#%14=328%22#[H]=1=%15=%10439=[h]#%16=2=%11-5-%191[h]%12#%20=6-%17-83#[H]#%22=%21=17%189%13
234,c12c345c678c9%10%11*#3=1-6%12%13%14=*=4-713n-2-9-%12[H]=1=%138%105=N#%113%14
235,CN12(#*3c=1C=3)=N#C=2CO
236,*12=*34=*15c16#n378c=13c-5-6-7f=4=82-3.N
237,[H]123#o4567c189%10n#41%11=o#84n=52-98%12=c6=4=1-%102n3-8#O=2%117%12
238,[H]12345#o6789%10%11o%12%13%14%15%16#F=1=6%17%18%19#f#2#%12#716%20c-%13%17-827n1#9=3=%14=%188#f6#4#2#%10=%15%19c#7#%11=5=%16=8=%20
239,C#o12f345#o6c-37(=F)o-1(o=2=4)o#5=7-6
240,*1234567:*89%10%11%12%13:*=1%14%15%16%17%18[h]#2#81%19%20%21#*#3#%14=928%22:*:%10#4#%15#139f%16#%19=5=2-%111f8#%12=6=%20-%17-3-f%22%13%1891#7#%21
241,C.C.C.C.C.C#O.N.O
242,C#o12345*678c9%10=O#1=6%11=N=27o#3-9(c#4%11)N=5%108
243,o1o234567o89#c2=1%10%11#[h]312#[h]=8=%10=43*#5#F#3#6=1O#%11=297
244,*1c23n4#o56*#2-478#c-32o#5-1#c=6=7n#2-8
245,*c=N(C)NO.C.N.O
246,O.n1f2=c-134c1#C25=N=1=3=O=F#45
247,*1#Oo#12cCON#2.C.C
248,CC.N.N.O.O.O.[H]=O
249,N.Occ1=C#C1#O1#C=C=1
